iter	TotalF1:average=Macro	MultiClass
431	0.6303734912	0.921040831
432	0.6305557789	0.920827661
433	0.6307226011	0.9206250332
434	0.630728687	0.9205308997
435	0.6307216733	0.9204204962
436	0.6310194759	0.9201809289
437	0.6311782288	0.9198033988
438	0.6312806233	0.9193044248
439	0.6312832428	0.9192206675
440	0.6314838067	0.9190311554
441	0.6315686547	0.9189249854
442	0.6319222672	0.9185420596
443	0.6320241107	0.9183403449
444	0.6323516724	0.9180351996
445	0.6324324532	0.9177234965
446	0.6320457933	0.917547598
447	0.6322577727	0.9171757126
448	0.6323853671	0.9169406278
449	0.6325610277	0.9166090853
450	0.6326442896	0.9163724234
451	0.6328900211	0.9159650096
452	0.6329663387	0.9158063772
453	0.6332470419	0.9154982435
454	0.6332671854	0.9151637956
455	0.6333916973	0.9148026185
456	0.6334892317	0.9146710474
457	0.6336970975	0.9144949829
458	0.6337556033	0.9142991619
459	0.634021504	0.9141153775
460	0.6340057145	0.9138927442
461	0.6343546359	0.9135534818
462	0.63455869	0.9131984474
463	0.634643932	0.9129712486
464	0.6348960179	0.9128093788
465	0.6348401513	0.9125688984
466	0.6347793322	0.9124764251
467	0.6347808254	0.9122448268
468	0.6349841488	0.9119947172
469	0.6350916373	0.9117107395
470	0.6352282396	0.911542644
471	0.635121581	0.9113185996
472	0.6354450405	0.9111544885
473	0.635735345	0.910929116
474	0.6356568578	0.9108590554
475	0.6358459163	0.9104812762
476	0.6362880034	0.9101073985
477	0.6363428289	0.90972688
478	0.6363406081	0.9096141522
479	0.6368647446	0.9091918796
480	0.6367989275	0.9090354885
481	0.6369261311	0.9087929328
482	0.6370158046	0.908549049
483	0.637157893	0.9082362668
484	0.6371992126	0.9079816747
485	0.6374265378	0.907779794
486	0.6377075958	0.9073849977
487	0.6379045483	0.9071051705
488	0.6379166053	0.9068846956
489	0.6379379345	0.906593745
490	0.6381852276	0.9064423345
491	0.6383199272	0.9062717487
492	0.6382809633	0.9061369402
493	0.6383430984	0.9057882976
494	0.6387313664	0.9053974028
495	0.6388141804	0.9052692351
496	0.6388620976	0.9050320751
497	0.6388497771	0.90483476
498	0.6387169321	0.9047547382
499	0.6389071861	0.9045677994
500	0.6392396772	0.904343506
501	0.6392951837	0.9041702638
502	0.6394068409	0.9040103032
503	0.6395464287	0.9037619369
504	0.6397024878	0.9036337692
505	0.6397278949	0.9034924029
506	0.6396502887	0.9031594492
507	0.6396448428	0.9030461404
508	0.6399378018	0.9026442052
509	0.6400551138	0.9022094811
510	0.6401309616	0.9019864328
511	0.6401570524	0.9014565791
512	0.6405955691	0.9011761708
513	0.6407474954	0.9009374336
514	0.6407785242	0.9008194762
515	0.6411534042	0.9005188964
516	0.6412423224	0.9003462353
517	0.6414361304	0.8999366633
518	0.6415798308	0.8996465428
519	0.6419176897	0.8992582213
520	0.6419883441	0.8990384105
521	0.6422121722	0.8987697066
522	0.6424087296	0.8986235257
523	0.6423854682	0.8984724473
524	0.6426833352	0.8980583096
525	0.6428277273	0.8978785097
526	0.6430512613	0.8977183001
527	0.6431836541	0.8974788988
528	0.6432254532	0.8973109693
529	0.6433972223	0.8971318334
530	0.6435704099	0.8967786252
531	0.6437158206	0.8965686095
532	0.6437507959	0.8964356273
533	0.6437036675	0.8963536133
534	0.6438522098	0.8960523694
535	0.6438634723	0.8958817836
536	0.6439967379	0.8958136323
537	0.6441486029	0.8955974738
538	0.6442282148	0.895312832
539	0.6444631796	0.8951302097
540	0.6445349972	0.8949531491
541	0.6446625702	0.8946889278
542	0.6445424036	0.8945918059
543	0.6449975843	0.8940945751
544	0.6449587509	0.8939073042
