iter	TotalF1:average=Macro	MultiClass
297	0.6422625663	0.8834277211
298	0.6425615258	0.8832732414
299	0.6426350799	0.8829771708
300	0.6427611464	0.8827991389
301	0.642787617	0.8825060355
302	0.6432225225	0.8820104208
303	0.6434677475	0.8814769744
304	0.6434867367	0.8809787634
305	0.6435167259	0.8807277571
306	0.6434755241	0.880280823
307	0.6436591105	0.8798472413
308	0.6436437241	0.8795184387
309	0.6438768768	0.8790669611
310	0.6438952296	0.8789076597
311	0.6440564552	0.8787404767
312	0.6441855448	0.8784205757
313	0.6442863852	0.8780188914
314	0.6444206807	0.8777974643
315	0.6444491203	0.8776061728
316	0.644381148	0.8775051027
317	0.6446571037	0.8770548305
318	0.6448815654	0.8767270479
319	0.6449391741	0.8765167478
320	0.6450048662	0.8762863264
321	0.6450009876	0.8759431515
322	0.645032694	0.8757208898
323	0.6451398497	0.8755403544
324	0.6451266888	0.8751752965
325	0.6452616442	0.8749821505
326	0.6455152771	0.8747343895
327	0.6457043074	0.8744452732
328	0.6458122693	0.8742206007
329	0.6459054043	0.8738534101
330	0.6460540263	0.8736708347
331	0.6461891679	0.8735501069
332	0.6463201998	0.8732091574
333	0.6465448241	0.8730493923
334	0.6467738177	0.8724847903
335	0.6470150658	0.8722591906
336	0.6470760488	0.8719518075
337	0.6471688418	0.8716657512
338	0.6472788707	0.8713426976
339	0.6475998047	0.8711058781
340	0.6477612912	0.8707691012
341	0.6480858971	0.8704611618
342	0.6482193906	0.8702073737
343	0.6482577194	0.8699146412
344	0.6484223833	0.8696029927
345	0.6484392174	0.8693441048
346	0.648871832	0.8689987972
347	0.6489871126	0.8685557575
348	0.6492942978	0.8682908425
349	0.6496032497	0.8676773744
350	0.6494592034	0.8673874236
351	0.6496216853	0.8671448552
352	0.6498154476	0.8666969012
353	0.6500066906	0.8664448749
354	0.6501781268	0.8660966001
355	0.6503305202	0.8659336824
356	0.6506376119	0.8654573545
357	0.6506872958	0.8652521543
358	0.6507459146	0.8648971106
359	0.6507476208	0.8647519034
360	0.6507618246	0.8646258902
361	0.6510408904	0.8642631503
362	0.6511592113	0.8640063951
363	0.6513124756	0.863831794
364	0.6514866421	0.8635907093
365	0.6516302478	0.8633707658
366	0.6520181522	0.8628914707
367	0.6520739568	0.8626145014
368	0.6520370891	0.8623343794
369	0.6522645365	0.8620728951
370	0.6522818676	0.8619496637
371	0.6524230148	0.8617881369
372	0.6525432832	0.861584513
373	0.65264543	0.861105867
374	0.6528409326	0.860836872
375	0.6529981062	0.8604679196
376	0.6532733464	0.8601202012
377	0.6533205344	0.8598821763
378	0.65347437	0.8595868475
379	0.6535260716	0.8594494291
380	0.653645226	0.8593441864
381	0.6538065454	0.8590967963
382	0.6538093427	0.8588498698
383	0.6538672058	0.858526909
384	0.6540107858	0.8582405744
385	0.6540924721	0.8580821075
386	0.6542629884	0.8577509869
387	0.6543085069	0.8576343389
388	0.6547543643	0.8570100221
389	0.654865382	0.8567279529
390	0.6549187183	0.8565983235
391	0.6549828964	0.8560123947
392	0.6550158722	0.8558459535
393	0.655030422	0.8557596266
394	0.655139972	0.8556048687
395	0.6551889313	0.8554722721
396	0.6552542133	0.8552801461
397	0.6555956688	0.8547120205
398	0.6557835183	0.8545111784
399	0.6558006449	0.8544317131
400	0.6559659489	0.854250065
401	0.6560056102	0.8538863979
402	0.6560807153	0.8537819896
403	0.6561787425	0.8536685871
404	0.656357927	0.8530756112
405	0.6565589501	0.8527191767
406	0.6566137679	0.8525891763
407	0.6567570877	0.8522067788
408	0.6568156071	0.851986928
409	0.6569910005	0.8517056933
410	0.6572037534	0.8514849153
411	0.6573252249	0.8511917191
412	0.6574642329	0.8509749283
413	0.6574341801	0.8508060762
414	0.6574781009	0.8506462185
415	0.6573885217	0.8503681365
416	0.6576582	0.8501244554
417	0.65789448	0.8497775715
418	0.6581346706	0.8494044464
419	0.6582523076	0.849248854
420	0.658318919	0.8488755435
421	0.6583971208	0.84872876
422	0.6584196907	0.848604694
423	0.6586100053	0.8482516903
424	0.6588732204	0.8476958044
425	0.6589609495	0.8474872661
426	0.6592257046	0.8472166021
427	0.6593465885	0.8469770009
428	0.6594029557	0.8468215939
429	0.659422616	0.8466240899
430	0.6596375935	0.8461994098
431	0.6596577874	0.8461298661
432	0.6598048447	0.8458188667
433	0.6600727184	0.8455065692
434	0.6602286282	0.8452487939
435	0.6603605122	0.8450383084
436	0.6605447486	0.8447723733
437	0.6605754183	0.8446018522
438	0.660879424	0.8441574217
439	0.6609227998	0.8440665513
440	0.6609326283	0.8438959374
441	0.6614162876	0.8435224415
442	0.6615466281	0.843285622
443	0.6616509438	0.8431414348
444	0.6617269215	0.8428155067
445	0.6617272339	0.8426689086
446	0.6617721472	0.8425269468
447	0.6619242577	0.8423295354
448	0.6620132961	0.8420404192
449	0.6621273631	0.8418676726
450	0.6622340718	0.8416894554
451	0.662373154	0.8415273722
452	0.6624712567	0.8413596328
453	0.6626572531	0.8410073709
454	0.6627933454	0.840774075
455	0.6628956238	0.8404398017
456	0.6629318836	0.8403584819
457	0.6630048621	0.8401435456
458	0.6630944587	0.8398748288
459	0.6630885945	0.8397249853
460	0.6632591997	0.8394741644
461	0.6635179695	0.8391178226
462	0.6636775191	0.8386289768
463	0.6637314703	0.8384017081
464	0.6640769596	0.8381329913
465	0.6640770632	0.8379687754
466	0.6642201239	0.8377879619
467	0.6642661537	0.8375822053
468	0.6643055354	0.8374219766
469	0.6645372496	0.8370674893
470	0.6645483597	0.8368587655
471	0.6647412818	0.8365134579
472	0.664879575	0.8362134928
473	0.6649126866	0.8360745909
474	0.6649662713	0.8358370297
475	0.6650103527	0.8355922359
