iter	Passed	Remaining
1443	319190	122901
1444	319397	122675
1445	319709	122489
1446	319998	122293
1447	320291	122099
1448	320508	121877
1449	320775	121673
1450	321032	121465
1451	321226	121234
1452	321460	121017
1453	321688	120799
1454	321905	120576
1455	322079	120337
1456	322264	120102
1457	322493	119884
1458	322725	119667
1459	322936	119442
1460	323177	119228
1461	323388	119003
1462	323602	118779
1463	323813	118554
1464	324043	118336
1465	324237	118105
1466	324481	117892
1467	324672	117660
1468	324895	117440
1469	325076	117204
1470	325278	116976
1471	325461	116741
1472	325641	116505
1473	325880	116291
1474	326094	116067
1475	326327	115850
1476	326584	115642
1477	326775	115410
1478	326994	115188
1479	327209	114965
1480	327413	114738
1481	327625	114514
1482	327811	114280
1483	327992	114045
1484	328195	113818
1485	328416	113597
1486	328609	113367
1487	328837	113148
1488	329070	112931
1489	329276	112705
1490	329494	112483
1491	329698	112256
1492	329879	112022
